state,type,legal_status,minimum_age,eligible_population
Alaska,prizepicks college player picks,Legal,age_18_plus,565186
California,prizepicks college player picks,Legal,age_18_plus,31012711
Delaware,prizepicks college player picks,Legal with restrictions,age_18_plus,838204
District of Columbia,college player props,Legal with restrictions,age_18_plus,572419
District of Columbia,prizepicks college player picks,Legal,age_18_plus,572419
Florida,prizepicks college player picks,Legal,age_18_plus,18872523
Georgia,prizepicks college player picks,Legal,age_18_plus,8640127
Illinois,prizepicks college player picks,Legal with restrictions,age_18_plus,10012697
Kansas,prizepicks college player picks,Legal,age_18_plus,2278027
Kentucky,college player props,Legal,age_18_plus,3562700
Kentucky,prizepicks college player picks,Legal,age_18_plus,3562700
Minnesota,prizepicks college player picks,Legal,age_18_plus,4494094
Missouri,prizepicks college player picks,Legal with restrictions,age_18_plus,4873374
Montana,college player props,Legal,age_18_plus,904578
Nebraska,prizepicks college player picks,Legal,age_18_plus,1521153
New Hampshire,college player props,Legal with restrictions,age_18_plus,1159668
New Mexico,prizepicks college player picks,Legal,age_18_plus,1682353
North Carolina,prizepicks college player picks,Legal,age_18_plus,8685722
North Dakota,prizepicks college player picks,Legal,age_18_plus,611305
Oklahoma,prizepicks college player picks,Legal,age_18_plus,3129179
Oregon,prizepicks college player picks,Legal,age_18_plus,3446156
Rhode Island,college player props,Legal with restrictions,age_18_plus,907717
Rhode Island,prizepicks college player picks,Legal,age_18_plus,907717
South Carolina,prizepicks college player picks,Legal,age_18_plus,4326760
South Dakota,prizepicks college player picks,Legal,age_18_plus,703963
Texas,prizepicks college player picks,Legal,age_18_plus,23625608
Utah,prizepicks college player picks,Legal,age_18_plus,2569984
West Virginia,prizepicks college player picks,Legal,age_18_plus,1421615
Wisconsin,prizepicks college player picks,Legal,age_18_plus,4719976
Wyoming,college player props,Legal,age_18_plus,459626
Wyoming,prizepicks college player picks,Legal,age_18_plus,459626
Alabama,prizepicks college player picks,Legal,age_19_plus,3953095
Colorado,prizepicks college player picks,Legal with restrictions,age_19_plus,4667123
Arizona,prizepicks college player picks,Legal,age_21_plus,5687027
Arkansas,college player props,Legal,age_21_plus,2263194
Connecticut,college player props,Legal with restrictions,age_21_plus,2790572
Delaware,college player props,Legal with restrictions,age_21_plus,797469
Illinois,college player props,Legal with restrictions,age_21_plus,9516470
Indiana,college player props,Legal with restrictions,age_21_plus,5051709
Iowa,college player props,Legal with restrictions,age_21_plus,2366700
Kansas,college player props,Legal,age_21_plus,2147087
Maine,college player props,Legal with restrictions,age_21_plus,1106580
Michigan,college player props,Legal,age_21_plus,7639453
Missouri,college player props,Legal with restrictions,age_21_plus,4631397
Nebraska,college player props,Legal with restrictions,age_21_plus,1434898
Nevada,college player props,Legal,age_21_plus,2472246
New Jersey,college player props,Legal with restrictions,age_21_plus,7116689
New Mexico,college player props,Legal with restrictions,age_21_plus,1594207
North Carolina,college player props,Legal,age_21_plus,8228910
North Dakota,college player props,Legal,age_21_plus,571778
Virginia,prizepicks college player picks,Legal,age_21_plus,6578317
Washington,college player props,Legal with restrictions,age_21_plus,6028831
West Virginia,college player props,Legal,age_21_plus,1355582
Alabama,college player props,N/A,NA,NA
Alaska,college player props,N/A,NA,NA
Arizona,college player props,Banned,NA,NA
Arkansas,prizepicks college player picks,Banned,NA,NA
California,college player props,N/A,NA,NA
Colorado,college player props,Banned,NA,NA
Connecticut,prizepicks college player picks,N/A,NA,NA
Florida,college player props,Banned,NA,NA
Georgia,college player props,N/A,NA,NA
Hawaii,prizepicks college player picks,N/A,NA,NA
Hawaii,college player props,N/A,NA,NA
Idaho,prizepicks college player picks,N/A,NA,NA
Idaho,college player props,N/A,NA,NA
Indiana,prizepicks college player picks,Banned,NA,NA
Iowa,prizepicks college player picks,N/A,NA,NA
Louisiana,prizepicks college player picks,N/A,NA,NA
Louisiana,college player props,Banned,NA,NA
Maine,prizepicks college player picks,Banned,NA,NA
Maryland,prizepicks college player picks,N/A,NA,NA
Maryland,college player props,Banned,NA,NA
Massachusetts,prizepicks college player picks,Banned,NA,NA
Massachusetts,college player props,Banned,NA,NA
Michigan,prizepicks college player picks,N/A,NA,NA
Minnesota,college player props,N/A,NA,NA
Mississippi,prizepicks college player picks,N/A,NA,NA
Mississippi,college player props,Banned,NA,NA
Montana,prizepicks college player picks,N/A,NA,NA
Nevada,prizepicks college player picks,N/A,NA,NA
New Hampshire,prizepicks college player picks,Banned,NA,NA
New Jersey,prizepicks college player picks,N/A,NA,NA
New York,prizepicks college player picks,Banned,NA,NA
New York,college player props,Banned,NA,NA
Ohio,prizepicks college player picks,N/A,NA,NA
Ohio,college player props,Banned,NA,NA
Oklahoma,college player props,N/A,NA,NA
Oregon,college player props,Banned,NA,NA
Pennsylvania,prizepicks college player picks,N/A,NA,NA
Pennsylvania,college player props,Banned,NA,NA
South Carolina,college player props,N/A,NA,NA
South Dakota,college player props,Banned,NA,NA
Tennessee,prizepicks college player picks,Banned,NA,NA
Tennessee,college player props,Banned,NA,NA
Texas,college player props,N/A,NA,NA
Utah,college player props,N/A,NA,NA
Vermont,prizepicks college player picks,Banned,NA,NA
Vermont,college player props,Banned,NA,NA
Virginia,college player props,Banned,NA,NA
Washington,prizepicks college player picks,N/A,NA,NA
Wisconsin,college player props,TBD,NA,NA
